mid,merchant_creation_date,maximum_number_of_installments_allowed,country_of_registration,countries_of_operations
54520,2020-04-23T08:51:21.429325Z,10,FR,"{FR,ES,DE,BE,IT}"
33814,2020-03-05T11:20:18.839788Z,4,FR,"{FR,ES,DE,BE,IT}"
49126,2020-04-13T16:19:19.778328Z,4,FR,"{FR,ES,DE,BE,IT}"
11986,2019-10-11T12:04:17.856538Z,12,FR,"{FR,ES,DE,BE,IT}"
8371,2019-09-19T10:56:25.733091Z,4,FR,"{FR,ES,DE,BE,IT}"
43422,2020-04-02T10:02:52.83709Z,10,FR,"{FR,ES,DE,BE,IT}"
3905,2019-07-11T12:38:06.195556Z,4,FR,"{FR,ES,DE,BE,IT}"
44756,2020-04-05T15:08:33.001304Z,4,FR,"{FR,ES,DE,BE,IT}"
107899,2020-07-18T08:37:52.096199Z,4,FR,"{FR,ES,DE,BE,IT}"
6399,2019-09-01T13:50:23.057051Z,4,FR,"{FR,ES,DE,BE,IT}"
144188,2020-10-01T06:53:35.729787Z,4,FR,"{FR,ES,DE,BE,IT}"
4601,2019-07-19T11:02:45.435784Z,4,FR,"{FR,ES,DE,BE,IT}"
68401,2020-05-18T15:02:42.184238Z,4,FR,"{FR,ES,DE,BE,IT}"
36830,2020-03-13T09:05:08.543509Z,4,FR,"{FR,ES,DE,BE,IT}"
25036,2020-01-15T09:47:55.706198Z,4,FR,"{FR,ES,BE,DE,IT}"
24824,2020-01-14T10:20:07.881794Z,4,FR,"{FR,ES,DE,BE,IT}"
136609,2020-09-16T00:06:20.318125Z,4,FR,"{FR,ES,DE,BE,IT}"
13359,2019-10-18T08:32:40.97599Z,4,FR,"{FR,ES,BE,DE,IT}"
32538,2020-03-01T15:51:33.328257Z,4,FR,"{FR,ES,DE,BE,IT}"
18598,2019-11-20T17:30:05.27004Z,10,FR,"{FR,ES,DE,BE,IT}"
28478,2020-02-06T21:21:54.453944Z,10,FR,"{FR,ES,DE,BE,IT}"
16530,2019-11-07T21:42:44.37869Z,4,FR,"{FR,ES,DE,BE,IT}"
20493,2019-12-04T17:07:23.902277Z,4,FR,"{FR,ES,DE,BE,IT}"
94636,2020-06-24T12:45:46.891556Z,4,FR,"{FR,ES,DE,BE,IT}"
7172,2019-09-12T07:46:46.354627Z,4,FR,"{FR,ES,DE,BE,IT}"
30276,2020-02-17T15:53:57.778688Z,4,FR,"{FR,ES,BE,DE,IT}"
101867,2020-07-07T14:03:07.314411Z,4,FR,"{FR,ES,DE,BE,IT}"
18908,2019-11-22T09:21:31.379929Z,4,FR,"{FR,ES,DE,BE,IT}"
124371,2020-08-28T07:08:32.952189Z,4,FR,"{FR,ES,DE,BE,IT}"
54790,2020-04-23T15:13:53.130665Z,4,FR,"{FR,ES,DE,BE,IT}"
101229,2020-07-06T12:57:33.12276Z,4,FR,"{FR,ES,DE,BE,IT}"
25056,2020-01-15T10:30:20.152248Z,4,FR,"{FR,ES,DE,BE,IT}"
30817,2020-02-21T10:39:38.378956Z,4,FR,"{FR,ES,DE,BE,IT}"
49048,2020-04-13T14:15:43.254961Z,10,FR,"{FR,ES,DE,BE,IT}"
19294,2019-11-26T01:01:07.864543Z,4,FR,"{FR,ES,DE,BE,IT}"
1469,2019-04-08T19:32:50.392581Z,4,FR,"{FR,ES,DE,BE,IT}"
11445,2019-10-08T08:47:33.134269Z,4,FR,"{FR,ES,DE,BE,IT}"
32016,2020-02-28T00:57:29.813358Z,4,FR,"{FR,ES,BE,DE,IT}"
13378,2019-10-18T12:44:06.384166Z,4,FR,"{FR,ES,DE,BE,IT}"
38028,2020-03-17T15:21:32.438723Z,4,FR,"{FR,ES,DE,BE,IT}"
81142,2020-06-02T16:31:36.383485Z,4,FR,"{FR,ES,BE,DE,IT}"
43268,2020-04-02T03:12:50.799476Z,4,AE,"{FR,ES,BE,DE,IT}"
171254,2020-11-06T16:05:00.249123Z,10,FR,"{FR,ES,DE,BE,IT}"
2107,2019-05-24T13:29:08.456607Z,10,FR,"{FR,ES,DE,BE,IT}"
148074,2020-10-07T13:31:10.003278Z,4,FR,"{FR,ES,DE,BE,IT}"
93708,2020-06-23T06:09:02.632831Z,4,FR,"{FR,ES,DE,BE,IT}"
89184,2020-06-15T16:15:41.311639Z,4,FR,"{FR,ES,DE,BE,IT}"
3731,2019-07-09T14:43:17.307956Z,4,FR,"{FR,ES,DE,BE,IT}"
147204,2020-10-06T11:28:07.152849Z,4,FR,"{FR,ES,BE,DE,IT}"
17941,2019-11-18T15:54:34.407773Z,10,FR,"{FR,ES,DE,BE,IT}"
19024,2019-11-22T14:42:21.736098Z,4,FR,"{FR,ES,DE,BE,IT}"
34935,2020-03-10T15:37:16.935013Z,4,FR,"{FR,ES,DE,BE,IT}"
20590,2019-12-04T17:27:11.307267Z,4,FR,"{FR,ES,DE,BE,IT}"
91891,2020-06-18T20:01:16.620952Z,4,FR,"{FR,ES,DE,BE,IT}"
638,2019-02-06T14:30:48.984415Z,4,FR,"{FR,ES,DE,BE,IT}"
64399,2020-05-11T18:12:41.28614Z,4,FR,"{FR,ES,DE,BE,IT}"
116193,2020-08-07T11:57:20.249993Z,4,FR,"{FR,ES,DE,BE,IT}"
26428,2020-01-24T14:39:07.126854Z,4,FR,"{FR,ES,DE,BE,IT}"
81122,2020-06-02T16:27:19.548084Z,4,FR,"{FR,ES,DE,BE,IT}"
12837,2019-10-16T09:39:39.260164Z,4,FR,"{FR,ES,BE,DE,IT}"
15950,2019-11-05T14:47:27.525363Z,4,FR,"{FR,ES,DE,BE,IT}"
4620,2019-07-22T09:52:24.126452Z,4,FR,"{FR,ES,DE,BE,IT}"
31242,2020-02-23T19:49:18.250319Z,4,FR,"{FR,ES,DE,BE,IT}"
66004,2020-05-14T09:47:36.70996Z,4,FR,"{FR,ES,DE,BE,IT}"
20570,2019-12-04T17:24:47.133532Z,4,FR,"{FR,ES,DE,BE,IT}"
8584,2019-09-20T09:08:12.592958Z,4,FR,"{FR,ES,DE,BE,IT}"
93225,2020-06-22T11:43:36.554538Z,10,FR,"{FR,ES,DE,BE,IT}"
43210,2020-04-01T17:59:41.786038Z,4,FR,"{FR,ES,DE,BE,IT}"
10150,2019-10-01T16:28:31.79777Z,4,FR,"{FR,ES,DE,BE,IT}"
91446,2020-06-18T09:43:36.532227Z,4,FR,"{FR,ES,DE,BE,IT}"
8564,2019-09-20T08:19:54.87619Z,4,FR,"{FR,ES,DE,BE,IT}"
84660,2020-06-09T13:15:04.242622Z,4,FR,"{FR,ES,DE,BE,IT}"
232,2018-12-03T12:56:39.276823Z,4,FR,"{FR,ES,DE,BE,IT}"
12992,2019-10-16T16:56:57.633902Z,4,FR,"{FR,ES,DE,BE,IT}"
89010,2020-06-15T15:10:24.859405Z,4,FR,"{FR,ES,DE,BE,IT}"
140070,2020-09-23T01:14:31.337538Z,4,FR,"{FR,ES,DE,BE,IT}"
6264,2019-08-28T13:42:36.390431Z,4,FR,"{FR,ES,DE,BE,IT}"
52277,2020-04-18T17:01:28.71397Z,4,FR,"{FR,ES,DE,BE,IT}"
110934,2020-07-24T08:13:01.091611Z,4,FR,"{FR,ES,DE,BE,IT}"
36520,2020-03-12T19:34:25.282381Z,4,FR,"{FR,ES,DE,BE,IT}"
73524,2020-05-22T12:24:22.619276Z,10,FR,"{FR,ES,DE,BE,IT}"
5742,2019-08-20T06:43:10.017213Z,4,FR,"{FR,ES,DE,BE,IT}"
309,2019-01-02T17:44:13.570679Z,4,FR,"{FR,ES,DE,BE,IT}"
11464,2019-10-08T09:11:20.151238Z,4,US,"{FR,ES,DE,BE,IT}"
87696,2020-06-12T16:25:12.593633Z,4,FR,"{FR,ES,DE,BE,IT}"
19894,2019-11-29T10:12:02.749796Z,4,FR,"{FR,ES,DE,BE,IT}"
23238,2019-12-30T10:14:06.95162Z,4,FR,"{FR,ES,DE,BE,IT}"
67976,2020-05-18T11:18:08.27174Z,4,FR,"{FR,ES,DE,BE,IT}"
6032,2019-08-26T19:12:03.578395Z,4,FR,"{FR,ES,DE,BE,IT}"
89068,2020-06-15T15:49:19.68439Z,4,FR,"{FR,ES,DE,BE,IT}"
966,2019-03-04T18:17:04.218023Z,4,FR,"{FR,ES,DE,BE,IT}"
32093,2020-02-28T10:12:31.001372Z,4,FR,"{FR,ES,DE,BE,IT}"
15370,2019-10-31T09:03:27.818683Z,4,FR,"{FR,ES,DE,BE,IT}"
5104,2019-08-01T09:17:13.701217Z,4,FR,"{FR,ES,DE,BE,IT}"
