merchant_information,mid
sub_industry:athletic_shoes,27608
sub_industry:utilities,27608
sub_industry:services_not_elsewhere_classified,27608
sub_industry:towing_service,27608
sub_industry:online_dating,27608
sub_industry:local_delivery_service,27608
sub_industry:importing_and_exporting,27608
sub_industry:auto_body_repair_and_paint,27608
sub_industry:general_contractors,27608
sub_industry:ecommerce_services,27608
sub_industry:computer_and_data_processing_services,27608
sub_industry:recreational_and_utility_trailer_deal,27608
sub_industry:variety_store,27608
sub_industry:chemicals_and_allied_products,27608
sub_industry:veterinary_services,27608
sub_industry:other,27608
sub_industry:boat_dealer,27608
sub_industry:home_decor,27608
sub_industry:exterminating_and_disinfecting_servic,27608
sub_industry:horticulture,27608
sub_industry:drugstore_including_prescription_drug,27608
sub_industry:gift__card__novelty__and_souvenir_sho,27608
sub_industry:timeshares,27608
sub_industry:specialty_and_miscellaneous_food_stor,27608
sub_industry:wire_transfer_and_money_order,27608
sub_industry:money_service_business,27608
sub_industry:financial_and_investment_advice,27608
sub_industry:consumer_credit_reporting_agencies,27608
sub_industry:accounting,27608
sub_industry:lodging_and_accommodations,27608
sub_industry:electric_toys,27608
sub_industry:toys_and_games,27608
sub_industry:movies_dvds__videotapes,27608
sub_industry:hobby__toy__and_game_shops,27608
sub_industry:ecigarettes,27608
sub_industry:cameras__camcorders__and_equipment,27608
sub_industry:software,27608
sub_industry:monitors_and_projectors,27608
sub_industry:desktops__laptops__and_notebooks,27608
sub_industry:wholesale_precious_stones_and_metals,27608
sub_industry:wholesale,27608
sub_industry:marketing,27608
sub_industry:industrial_and_manufacturing_supplies,27608
sub_industry:architectural__engineering__and_surve,27608
sub_industry:bath_and_body,27608
sub_industry:clothing,27608
sub_industry:art_and_craft_supplies,27608
sub_industry:hair,27608
industry:vehicle_service_accessories,108982
industry:toys_hobbies,27608
industry:religion_spirituality,27608
industry:home_garden,27608
industry:education,27608
sub_industry:rental_property_management,27608
sub_industry:radio__television__and_stereo_repair,27608
sub_industry:moving_and_storage,27608
sub_industry:legal_services_and_attorneys,27608
sub_industry:motor_home_and_recreational_vehicle_r,27608
sub_industry:auto_rental,27608
sub_industry:graphic_and_commercial_design,27608
sub_industry:electrical_and_small_appliance_repair,27608
sub_industry:computer_network_services,27608
sub_industry:recreational_vehicle_dealer,27608
sub_industry:advertising,27608
sub_industry:discount_store,27608
sub_industry:specialty_or_rare_pets,27608
sub_industry:political,27608
sub_industry:aviation,27608
sub_industry:transportation_services__other,27608
sub_industry:hardware_and_tools,27608
sub_industry:bed_and_bath,27608
sub_industry:medical_equipment_and_supplies,27608
sub_industry:drugstore_excluding_prescription_drug,27608
sub_industry:nursery_plants_and_flowers,27608
sub_industry:auto_dealer__new_and_used,27608
sub_industry:taxicabs_and_limousines,27608
sub_industry:alcoholic_beverages,27608
sub_industry:remittance,27608
sub_industry:mortgage_brokers_or_dealers,27608
sub_industry:finance_company,27608
sub_industry:bus_line,27608
sub_industry:cable__satellite__and_other_pay_tv_an,27608
sub_industry:telecommunication_services,27608
sub_industry:parts_and_accessories,27608
sub_industry:digital_content,27608
sub_industry:mens_clothing,27608
sub_industry:rare_and_used_books,27608
sub_industry:audio_books,27608
sub_industry:fashion_jewelry,27608
sub_industry:3d_printing__stationary__printing_and,27608
sub_industry:garden_supplies,27608
sub_industry:colleges_and_universities,27608
sub_industry:child_daycare_services,27608
industry:business_to_business,227321
sub_industry:boat_dealer,190665
industry:vehicle_sales,190665
industry:pets_animals,180573
sub_industry:auto_body_repair_and_paint,108982
industry:vehicle_service_accessories,104187
sub_industry:auto_body_repair_and_paint,104187
industry:vehicle_service_accessories,122128
sub_industry:auto_body_repair_and_paint,122128
industry:vehicle_service_accessories,115980
sub_industry:auto_body_repair_and_paint,115980
industry:vehicle_service_accessories,101751
sub_industry:auto_body_repair_and_paint,101751
industry:vehicle_sales,118339
sub_industry:auto_dealer__new_and_used,118339
industry:health_personal_care,55622
industry:vehicle_sales,44370
sub_industry:hair,55622
sub_industry:auto_dealer__new_and_used,44370
industry:vehicle_sales,8178
sub_industry:auto_dealer__new_and_used,8178
industry:vehicle_sales,9937
sub_industry:auto_dealer__used_only,9937
industry:vehicle_sales,28342
sub_industry:auto_dealer__used_only,28342
industry:vehicle_sales,4060
industry:beauty_fragrances,127213
sub_industry:auto_dealer__used_only,4060
sub_industry:coffee_and_tea,59740
industry:vehicle_sales,8429
sub_industry:auto_dealer__used_only,8429
industry:food_retail_service,59740
industry:vehicle_sales,16626
sub_industry:hair,61905
industry:beauty_fragrances,61905
sub_industry:home_decor,302431
sub_industry:auto_dealer__used_only,16626
industry:vehicle_sales,30759
sub_industry:auto_dealer__used_only,30759
industry:vehicle_sales,99566
sub_industry:auto_dealer__used_only,99566
industry:vehicle_service_accessories,18579
sub_industry:auto_service,18579
industry:clothing_accessories_shoes,306220
industry:clothing_accessories_shoes,305486
industry:beauty_fragrances,301348
industry:vehicle_sales,29754
sub_industry:automotive_tire_supply_and_service,29754
sub_industry:baby_products_other,41837
industry:arts_crafts_collectibles,64728
industry:baby,23857
sub_industry:baby_products_other,23857
industry:baby,24630
sub_industry:baby_products_other,24630
industry:baby,47966
sub_industry:baby_products_other,47966
industry:baby,7810
sub_industry:baby_products_other,7810
industry:baby,124410
industry:clothing_accessories_shoes,103433
industry:retail_other,90112
sub_industry:baby_products_other,124410
industry:baby,114260
sub_industry:baby_products_other,114260
industry:health_personal_care,116831
sub_industry:bath_and_body,116831
industry:beauty_fragrances,19526
sub_industry:bath_and_body,19526
sub_industry:3d_printing__stationary__printing_and,64728
industry:beauty_fragrances,3576
sub_industry:bath_and_body,3576
industry:beauty_fragrances,2764
sub_industry:bath_and_body,2764
industry:beauty_fragrances,112771
sub_industry:bath_and_body,112771
industry:beauty_fragrances,124197
sub_industry:bath_and_body,124197
industry:beauty_fragrances,31126
sub_industry:bath_and_body,31126
industry:beauty_fragrances,109736
sub_industry:bath_and_body,109736
industry:beauty_fragrances,120311
sub_industry:bath_and_body,120311
industry:beauty_fragrances,117701
sub_industry:bath_and_body,117701
industry:home_garden,21808
sub_industry:bed_and_bath,21808
industry:home_garden,1740
sub_industry:bed_and_bath,1740
industry:home_garden,38666
sub_industry:bed_and_bath,38666
industry:home_garden,3132
sub_industry:bed_and_bath,3132
industry:home_garden,32228
sub_industry:bed_and_bath,32228
industry:home_garden,9686
sub_industry:bed_and_bath,9686
industry:home_garden,15950
sub_industry:medical_care,92838
sub_industry:bed_and_bath,15950
industry:home_garden,90963
sub_industry:general_electronic_accessories,306162
sub_industry:bed_and_bath,90963
industry:home_garden,6534
sub_industry:bed_and_bath,6534
industry:home_garden,109156
sub_industry:bed_and_bath,109156
industry:home_garden,31320
sub_industry:bed_and_bath,31320
industry:home_garden,107358
industry:home_garden,101867
sub_industry:bed_and_bath,101867
industry:home_garden,3654
sub_industry:bed_and_bath,3654
industry:home_garden,46844
sub_industry:bed_and_bath,46844
industry:home_garden,8197
sub_industry:bed_and_bath,8197
industry:retail_other,303127
industry:home_garden,110026
sub_industry:bed_and_bath,110026
industry:home_garden,48352
sub_industry:bed_and_bath,48352
industry:home_garden,101558
sub_industry:bed_and_bath,101558
industry:home_garden,109465
sub_industry:bed_and_bath,109465
industry:home_garden,120369
sub_industry:bed_and_bath,120369
industry:home_garden,121606
sub_industry:bed_and_bath,121606
industry:sports_outdoors,66758
industry:sports_outdoors,1546
sub_industry:bicycle_shop__service__and_repair,1546
industry:sports_outdoors,870
sub_industry:bicycle_shop__service__and_repair,870
industry:sports_outdoors,32673
sub_industry:bicycle_shop__service__and_repair,32673
sub_industry:accessories,194493
industry:sports_outdoors,30276
industry:retail_other,90190
sub_industry:vitamins_and_supplements,116754
sub_industry:bicycle_shop__service__and_repair,30276
sub_industry:womens_clothing,103433
industry:sports_outdoors,5742
sub_industry:bicycle_shop__service__and_repair,5742
industry:sports_outdoors,2822
sub_industry:mens_clothing,305486
sub_industry:bicycle_shop__service__and_repair,2822
industry:sports_outdoors,20725
sub_industry:fashion_jewelry,306220
sub_industry:ids__licenses__and_passports,227804
industry:clothing_accessories_shoes,194493
sub_industry:bicycle_shop__service__and_repair,20725
industry:sports_outdoors,57806
sub_industry:womens_clothing,305292
sub_industry:pet_shops__pet_food__and_supplies,180573
industry:beauty_fragrances,194802
sub_industry:bicycle_shop__service__and_repair,57806
industry:sports_outdoors,3286
sub_industry:bicycle_shop__service__and_repair,3286
industry:sports_outdoors,64824
sub_industry:bicycle_shop__service__and_repair,64824
industry:sports_outdoors,15969
sub_industry:bicycle_shop__service__and_repair,15969
industry:sports_outdoors,1024
sub_industry:bicycle_shop__service__and_repair,1024
industry:sports_outdoors,54152
sub_industry:bicycle_shop__service__and_repair,54152
industry:sports_outdoors,39188
sub_industry:bicycle_shop__service__and_repair,39188
industry:sports_outdoors,15505
sub_industry:bicycle_shop__service__and_repair,15505
industry:sports_outdoors,95642
sub_industry:bicycle_shop__service__and_repair,95642
industry:sports_outdoors,22755
sub_industry:bicycle_shop__service__and_repair,22755
industry:sports_outdoors,105289
sub_industry:bicycle_shop__service__and_repair,105289
industry:sports_outdoors,117102
sub_industry:bicycle_shop__service__and_repair,117102
industry:sports_outdoors,122554
